Mass,Fission Yield
66,7.24E-10
67,3.62E-09
68,8.38E-09
69,1.48E-08
70,3.71E-08
71,8.41E-08
72,2.66E-07
73,1.07E-06
74,3.39E-06
75,1.07E-05
76,3.09E-05
77,7.60E-05
78,2.10E-04
79,4.48E-04
80,1.28E-03
81,1.90E-03
82,3.27E-03
83,5.36E-03
84,8.96E-03
85,1.29E-02
86,1.41E-02
87,2.53E-02
88,3.42E-02
89,4.76E-02
90,5.90E-02
91,5.87E-02
92,5.99E-02
93,6.25E-02
94,6.59E-02
95,6.56E-02
96,6.37E-02
97,6.12E-02
98,5.77E-02
99,6.16E-02
100,6.59E-02
101,5.19E-02
102,4.21E-02
103,3.04E-02
104,1.88E-02
105,9.74E-03
106,4.03E-03
107,1.47E-03
108,5.42E-04
109,3.13E-04
110,2.56E-04
111,1.75E-04
112,1.39E-04
113,1.38E-04
114,1.20E-04
115,1.31E-04
116,1.33E-04
117,1.18E-04
118,1.14E-04
119,1.23E-04
120,1.26E-04
121,1.31E-04
122,1.55E-04
123,1.10E-04
124,2.69E-04
125,2.91E-04
126,5.84E-04
127,1.53E-03
128,3.49E-03
129,5.36E-03
130,1.82E-02
131,2.89E-02
132,4.33E-02
133,6.71E-02
134,7.87E-02
135,6.56E-02
136,6.11E-02
137,6.36E-02
138,6.79E-02
139,6.49E-02
140,6.24E-02
141,5.87E-02
142,5.84E-02
143,5.98E-02
144,5.52E-02
145,3.95E-02
146,3.01E-02
147,2.25E-02
148,1.68E-02
149,1.09E-02
150,6.55E-03
151,4.13E-03
152,2.68E-03
153,1.59E-03
154,7.46E-04
155,3.22E-04
156,1.49E-04
157,6.17E-05
158,3.29E-05
159,1.01E-05
160,3.20E-06
161,8.55E-07
162,1.59E-07
163,6.12E-08
164,1.89E-08
165,9.54E-09
166,3.63E-09
167,2.48E-09
168,5.73E-10
169,2.39E-10
170,5.02E-11
171,2.35E-11
172,7.71E-12
